timestamp,deviceId,STX,Length,ProtocolVersion,lineNumber,intervalTimeSet,amplifierX,amplifierY,amplifierZ,frequencyX,frequencyY,frequencyZ,degreeXAmount,degreeYAmount,degreeZAmount,AmountCH0,AmountCH1,AmountCH2,AmountCH3,AmountCH4,AmountCH5,AmountCH6,AmountCH7,initDegreeX,initDegreeY,initDegreeZ,initCrack,initCH1,initCH2,initCH3,initCH4,initCH5,initCH6,initCH7,InsideTemperature,InsideHumidity,OutsideTemperature,OutsideHumidity,Reserve,status_bits,batLevel,CRC,ETX,,,,,,,,,,,,,,,
2026-03-17 14:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.034,2.017,0.052,100,101,100,1.434,-0.964,90,2.6442,2.3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,31.7,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7103,#NAME?
2026-03-17 15:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.034,0.299,0.049,100,100,100,1.277,-0.964,90,2.6849,2.3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,30.8,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7354,#NAME?
2026-03-17 21:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.037,2.129,0.056,100,101,100,1.681,-0.829,90,2.6851,2.3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,28.2,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7321,#NAME?
2026-03-17 22:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.037,2.442,0.056,100,101,100,1.658,-0.717,90,2.6875,2.3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,28.3,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7085,#NAME?
2026-03-17 23:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.037,0.254,0.052,100,100,100,1.725,-0.762,90,2.6832,2.3405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,28.5,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7551,#NAME?
2026-03-18 0:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.03,2.241,0.052,100,101,100,1.658,-0.874,90,2.687,2.3437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,28.8,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7814,#NAME?
2026-03-18 1:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.041,2.241,0.056,100,101,100,1.636,-1.008,90,2.6484,2.3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,6817,#NAME?
2026-03-18 7:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.03,2.174,0.067,100,101,100,1.3,-1.569,90,2.6821,2.3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,30.7,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7775,#NAME?
2026-03-18 8:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.037,2.151,0.049,100,101,100,1.188,-1.77,90,2.6873,2.3392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,31.7,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7972,#NAME?
2026-03-18 9:00,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.034,0.284,0.052,100,100,100,1.098,-1.972,90,2.6864,2.3392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,32.7,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7197,#NAME?
2026-03-18 10:10,HANT-ANSAN,-ST-,220,1.02,1220268004,60,0.034,0.269,0.045,100,100,100,1.008,-2.218,90,2.6863,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,33.4,25,50,,"{""Channel_7_sensor"": 0"," ""Channel_6_sensor"": 0"," ""Channel_5_sensor"": 0"," ""Channel_4_sensor"": 0"," ""Channel_3_sensor"": 0"," ""Channel_2_sensor"": 0"," ""Channel_1_sensor"": 0"," ""Channel_0_sensor"": 0"," ""Outside_temperature_status"": 0"," ""Inside_temperature_status"": 0"," ""Tilt_sensor_status"": 0"," ""Data_event_type"": 0"," ""Displacement_status"": 0"," ""Deep_sleep"": 0"," ""Battery_status"": 0"," ""Power_type"": 0}",100,7290,#NAME?
