2026-03-19 0:00,HANT-ANSAN,1220268009,TS001,-0.475333,0.044667,TS002,-0.630667,0.367333,TS003,-0.512667,0.203667,TS004,-0.414,-0.484333,TS005,-0.307333,0.338,WM006,2991.59,VM201008,-159.91,-0.09,VM201008,1194.9,1292.1,1207.9,1333.3,1249.7,1241,0,0,0,0,0,0,0,0,0
2026-03-19 1:00,HANT-ANSAN,1220268009,TS001,-0.475688,0.044564,TS002,-0.630978,0.367224,TS003,-0.512507,0.20386,TS004,-0.413735,-0.484346,TS005,-0.306404,0.338237,WM006,3011.4,VM201008,-159.88,-0.06,VM201008,1194.6,1307,1207.6,1298.8,1222.8,1253.9,0,0,0,0,0,0,0,0,0
2026-03-19 2:00,HANT-ANSAN,1220268009,TS001,-0.476136,0.044375,TS002,-0.630949,0.366954,TS003,-0.512433,0.204172,TS004,-0.413437,-0.484348,TS005,-0.304172,0.33824,WM006,3026.53,VM201008,-159.87,-0.05,VM201008,1194.4,1315.8,1207.5,1306.1,1233.6,1240.4,0,0,0,0,0,0,0,0,0
2026-03-19 3:00,HANT-ANSAN,1220268009,TS001,-0.476517,0.044281,TS002,-0.6314,0.366742,TS003,-0.512344,0.204406,TS004,-0.413174,-0.484358,TS005,-0.302595,0.338249,WM006,3004.53,VM201008,-159.91,-0.09,VM201008,1194.3,1273.1,1260,1280.1,1209.5,1252.5,0,0,0,0,0,0,0,0,0
2026-03-19 4:00,HANT-ANSAN,1220268009,TS001,-0.47723,0.044071,TS002,-0.631549,0.366521,TS003,-0.512303,0.204411,TS004,-0.413015,-0.484374,TS005,-0.300143,0.338176,WM006,2983.06,VM201008,-159.85,-0.03,VM201008,1194,1273.1,1207,1310.4,1230.7,1240.2,0,0,0,0,0,0,0,0,0
2026-03-19 5:00,HANT-ANSAN,1220268009,TS001,-0.477609,0.044015,TS002,-0.632206,0.366256,TS003,-0.512277,0.204573,TS004,-0.412592,-0.484384,TS005,-0.300389,0.338375,WM006,2966.88,VM201008,-159.85,-0.03,VM201008,1193.7,1294.8,1236.5,1295.2,1209.1,1269.5,0,0,0,0,0,0,0,0,0
2026-03-19 6:00,HANT-ANSAN,1220268009,TS001,-0.477389,0.043835,TS002,-0.632691,0.366246,TS003,-0.512253,0.204971,TS004,-0.412054,-0.484395,TS005,-0.299841,0.338503,WM006,2954.88,VM201008,-159.87,-0.05,VM201008,1193.6,1300,1206.7,1314.8,1209,1278.6,0,0,0,0,0,0,0,0,0
2026-03-19 7:00,HANT-ANSAN,1220268009,TS001,-0.477449,0.043704,TS002,-0.633519,0.366262,TS003,-0.512196,0.205097,TS004,-0.411606,-0.484398,TS005,-0.29937,0.338596,WM006,2960.86,VM201008,-159.87,-0.05,VM201008,1193.8,1292.3,1206.9,1341.5,1239.6,1239.6,0,0,0,0,0,0,0,0,0
2026-03-19 8:00,HANT-ANSAN,1220268009,TS001,-0.477575,0.043499,TS002,-0.633884,0.366094,TS003,-0.512231,0.205538,TS004,-0.411128,-0.484398,TS005,-0.297579,0.338405,WM006,3100.11,VM201008,-159.88,-0.06,VM201008,1193.8,1283.3,1206.8,1364.2,1279.2,1298.7,0,0,0,0,0,0,0,0,0
2026-03-19 9:00,HANT-ANSAN,1220268009,TS001,-0.477735,0.043418,TS002,-0.634422,0.366114,TS003,-0.51229,0.205617,TS004,-0.410596,-0.484412,TS005,-0.296078,0.338775,WM006,3034.65,VM201008,-159.91,-0.09,VM201008,1194.5,1314.3,1207.2,1318.8,1248.6,1240.2,0,0,0,0,0,0,0,0,0
2026-03-19 10:00,HANT-ANSAN,1220268009,TS001,-0.478226,0.043292,TS002,-0.634899,0.366085,TS003,-0.512311,0.205845,TS004,-0.410348,-0.484417,TS005,-0.295557,0.338846,WM006,3043.88,VM201008,-159.91,-0.09,VM201008,1195.2,1274.2,1232.2,1288.7,1210.1,1240.6,0,0,0,0,0,0,0,0,0
2026-03-19 11:00,HANT-ANSAN,1220268009,TS001,-0.478264,0.0432,TS002,-0.6358,0.366142,TS003,-0.512359,0.206381,TS004,-0.409749,-0.484421,TS005,-0.295777,0.339067,WM006,3043.03,VM201008,-159.92,-0.1,VM201008,1196,1274.9,1274.6,1277.9,1220.5,1240.9,0,0,0,0,0,0,0,0,0
2026-03-19 12:00,HANT-ANSAN,1220268009,TS001,-0.478934,0.043038,TS002,-0.636529,0.366329,TS003,-0.512409,0.20654,TS004,-0.409523,-0.484422,TS005,-0.293028,0.339061,WM006,3063.13,VM201008,-159.94,-0.12,VM201008,1202.4,1280.4,1247.7,1284.1,1212.9,1257.7,0,0,0,0,0,0,0,0,0
2026-03-19 13:00,HANT-ANSAN,1220268009,TS001,-0.479174,0.043033,TS002,-0.637212,0.36618,TS003,-0.512334,0.206345,TS004,-0.409204,-0.484422,TS005,-0.290907,0.338907,WM006,3046.99,VM201008,-159.85,-0.03,VM201008,1203.2,1319,1213.4,1313.1,1213.9,1248,0,0,0,0,0,0,0,0,0
2026-03-19 14:00,HANT-ANSAN,1220268009,TS001,-0.479441,0.042978,TS002,-0.638,0.36618,TS003,-0.512511,0.20665,TS004,-0.408962,-0.48442,TS005,-0.290563,0.338762,WM006,3045.47,VM201008,-159.87,-0.05,VM201008,1197.6,1280.9,1227.9,1282.2,1220.2,1247.9,0,0,0,0,0,0,0,0,0
2026-03-19 15:00,HANT-ANSAN,1220268009,TS001,-0.479939,0.042915,TS002,-0.639008,0.366194,TS003,-0.512562,0.206531,TS004,-0.408785,-0.484419,TS005,-0.288736,0.338898,WM006,3213.22,VM201008,-159.87,-0.05,VM201008,1195.5,1290.6,1242.4,1301.1,1213.6,1258.7,0,0,0,0,0,0,0,0,0
2026-03-19 16:00,HANT-ANSAN,1220268009,TS001,-0.480381,0.042893,TS002,-0.640001,0.366222,TS003,-0.512482,0.206717,TS004,-0.408776,-0.484418,TS005,-0.288035,0.338964,WM006,3196.98,VM201008,-159.87,-0.05,VM201008,1194,1283.5,1250.9,1282.3,1211.9,1258.6,0,0,0,0,0,0,0,0,0
2026-03-19 17:00,HANT-ANSAN,1220268009,TS001,-0.480114,0.042828,TS002,-0.640405,0.36603,TS003,-0.512589,0.206748,TS004,-0.408367,-0.484417,TS005,-0.286112,0.339001,WM006,3181.3,VM201008,-159.87,-0.05,VM201008,1193,1283.4,1269.6,1279.4,1211.3,1241.5,0,0,0,0,0,0,0,0,0
2026-03-19 18:00,HANT-ANSAN,1220268009,TS001,-0.480374,0.042774,TS002,-0.64045,0.365951,TS003,-0.512484,0.206639,TS004,-0.408141,-0.484411,TS005,-0.285472,0.339086,WM006,3168.59,VM201008,-159.88,-0.06,VM201008,1192.4,1287.5,1270.8,1278.9,1212.6,1244.1,0,0,0,0,0,0,0,0,0
2026-03-19 19:00,HANT-ANSAN,1220268009,TS001,-0.480384,0.042736,TS002,-0.641087,0.365908,TS003,-0.512669,0.206758,TS004,-0.407829,-0.484411,TS005,-0.285023,0.339041,WM006,3164.5,VM201008,-159.86,-0.04,VM201008,1192.2,1287.5,1267.4,1280.3,1216.5,1246.2,0,0,0,0,0,0,0,0,0
2026-03-19 20:00,HANT-ANSAN,1220268009,TS001,-0.480741,0.042688,TS002,-0.641473,0.366031,TS003,-0.512988,0.207039,TS004,-0.407845,-0.484409,TS005,-0.284522,0.339099,WM006,3155.6,VM201008,-159.85,-0.03,VM201008,1192.1,1280.2,1265.8,1280.9,1212.7,1242.7,0,0,0,0,0,0,0,0,0
2026-03-19 21:00,HANT-ANSAN,1220268009,TS001,-0.480684,0.042705,TS002,-0.64183,0.366041,TS003,-0.513163,0.207041,TS004,-0.407798,-0.484406,TS005,-0.282559,0.338949,WM006,3198.17,VM201008,-159.88,-0.06,VM201008,1191.7,1305.1,1226.5,1286.7,1224.2,1242.9,0,0,0,0,0,0,0,0,0
